TVnews,self,Congress_approach,BJP_approach,PID,age,education,income,vote
7,7,1,6,6,36,3,1,1
1,3,3,5,1,20,4,1,0
7,2,2,6,1,24,6,1,0
4,3,4,5,1,28,6,1,0
7,5,6,4,0,68,6,1,0
3,3,4,6,1,21,4,1,0
7,5,6,4,1,77,4,1,0
1,5,4,5,4,21,4,1,0
7,4,6,3,3,31,4,1,0
0,3,3,7,0,39,3,1,0
0,3,2,4,4,26,2,1,0
5,4,3,6,1,31,4,1,0
2,5,4,6,5,22,4,1,1
7,4,4,6,0,42,5,1,0
7,5,7,4,0,74,1,1,0
7,6,7,5,0,62,3,1,0
7,4,4,5,1,58,3,1,0
5,3,3,6,1,24,6,1,0
7,6,2,6,5,51,4,1,1
2,2,1,4,0,36,3,2,0
7,4,4,7,2,88,2,2,0
0,2,4,6,2,20,4,2,0
3,4,6,3,2,27,3,2,0
7,6,1,6,6,44,4,2,1
0,4,2,2,1,45,3,2,0
2,4,3,6,1,21,4,2,0
5,3,4,7,1,40,5,2,0
7,4,3,4,0,40,6,2,0
3,5,5,4,1,48,3,2,0
3,4,7,1,0,34,3,2,0
0,3,4,7,2,26,2,2,0
3,4,4,2,1,60,2,3,0
0,4,4,3,0,32,3,3,0
1,4,3,7,1,31,3,3,0
7,7,5,7,4,33,3,3,1
7,3,4,6,0,57,3,3,0
7,4,3,6,1,84,3,3,0
6,7,2,7,5,75,3,3,1
2,7,2,6,6,19,4,3,1
1,3,2,6,1,47,6,3,0
6,5,5,5,0,51,2,3,0
3,6,4,4,5,40,3,3,0
0,2,3,6,1,22,6,3,0
1,7,7,5,6,35,2,3,0
7,4,4,7,2,43,5,3,0
3,6,6,3,2,76,6,3,0
7,4,3,1,6,45,3,3,1
7,4,6,6,0,88,2,3,0
6,4,4,2,1,46,3,4,0
1,3,4,5,2,22,6,4,0
7,5,1,6,5,68,3,4,1
2,5,2,6,5,38,3,4,1
7,4,3,6,3,69,2,4,0
2,5,4,3,0,67,3,4,0
7,2,4,6,0,88,4,4,0
3,6,2,5,5,68,3,4,1
1,5,2,4,2,76,3,4,1
7,4,4,6,0,72,2,4,0
0,6,2,6,6,37,6,4,1
3,4,2,6,0,69,3,4,0
0,2,4,6,0,33,6,4,0
7,2,2,6,0,34,4,4,0
2,4,4,7,2,30,3,4,0
2,3,3,6,1,19,3,4,0
3,4,6,2,0,44,3,4,0
1,4,4,7,1,64,3,4,0
5,7,7,2,0,37,4,4,0
7,6,3,5,4,31,5,5,1
0,6,1,5,4,88,4,5,1
7,6,2,6,6,77,4,5,1
1,4,5,6,5,30,6,5,0
1,2,3,7,1,32,4,5,0
7,6,2,6,6,59,1,5,1
0,4,4,4,3,47,4,5,0
2,4,6,5,1,22,3,5,0
5,4,2,6,2,55,3,5,0
2,2,1,3,0,24,2,5,0
5,3,7,4,1,65,1,5,0
7,3,6,2,2,24,3,5,0
7,3,4,5,3,30,3,5,0
7,4,5,2,3,73,3,5,0
5,3,3,5,1,73,5,5,0
6,4,3,6,2,91,1,5,0
7,3,2,5,0,71,2,5,0
2,6,4,5,4,34,4,5,1
7,4,3,2,0,48,2,6,0
1,6,2,6,5,42,4,6,1
4,6,5,4,0,72,2,6,0
2,3,4,6,6,20,4,6,1
7,2,2,7,0,22,4,6,0
1,3,3,6,1,24,6,6,0
1,4,2,7,2,39,6,6,0
7,6,1,6,6,83,5,6,1
0,6,2,6,6,39,3,6,1
3,5,3,6,1,33,5,6,0
7,4,3,6,1,53,3,6,1
7,5,3,6,5,82,3,6,1
5,4,3,5,6,82,3,6,1
3,5,3,6,5,47,6,7,1
3,4,2,7,4,68,3,7,0
7,4,3,5,0,84,6,7,0
2,6,1,6,5,35,5,7,1
7,4,5,6,1,67,2,7,0
3,5,3,5,4,33,2,7,1
3,3,3,5,0,49,7,7,0
0,4,3,7,0,91,1,7,0
7,4,5,3,1,43,3,7,0
7,4,3,2,6,65,4,7,0
7,5,6,3,0,69,3,7,0
0,5,5,4,1,56,4,8,0
0,2,3,5,0,24,6,8,0
7,4,4,5,0,77,3,8,0
7,6,3,7,0,74,3,8,0
0,7,3,6,6,25,6,8,1
7,6,2,5,4,85,1,8,1
5,7,7,6,3,21,2,8,0
7,6,3,1,0,24,4,8,0
7,5,4,7,4,73,4,8,0
0,4,5,3,2,37,3,8,0
4,4,5,1,2,35,4,8,0
7,4,4,7,0,47,3,8,0
2,4,2,6,6,21,3,8,1
7,3,6,4,0,55,5,8,0
4,6,3,6,6,30,6,8,1
4,5,3,6,4,76,7,8,1
5,3,4,3,3,36,4,8,0
0,1,1,7,0,38,3,9,0
7,2,3,5,0,67,3,9,0
7,7,3,7,6,70,2,9,1
7,5,3,7,2,78,4,9,0
1,2,2,7,3,27,6,9,0
4,3,5,6,1,51,4,9,0
0,6,7,3,5,33,4,9,0
2,6,1,5,6,80,6,9,1
5,4,1,6,1,79,1,9,0
2,6,4,5,4,66,1,9,1
0,4,1,6,0,32,3,10,0
7,4,5,7,0,70,2,10,0
3,2,3,6,3,42,3,10,0
5,5,4,5,5,73,4,10,1
4,4,4,6,0,87,2,10,0
0,7,5,1,1,30,5,10,0
2,4,4,5,3,52,3,10,0
6,5,3,6,1,62,4,10,0
7,6,3,4,0,67,3,10,0
4,6,3,4,4,37,6,10,0
4,3,5,7,0,37,4,10,0
5,1,5,6,1,64,6,10,0
7,1,1,5,0,34,3,10,0
7,4,4,7,0,70,3,10,0
2,6,2,6,6,31,5,10,1
7,2,2,6,0,29,6,11,0
7,4,5,4,1,71,2,11,0
2,4,4,4,0,67,1,11,0
5,4,4,6,0,41,7,11,0
6,1,2,6,0,49,6,11,0
7,4,4,5,0,42,5,11,0
0,6,3,2,0,78,2,11,0
0,4,1,6,1,24,3,11,0
7,4,6,6,1,29,3,11,0
3,4,2,6,5,39,5,11,1
3,5,3,6,1,19,4,11,0
2,4,2,7,1,32,5,11,0
3,4,2,6,5,69,3,11,1
4,5,2,5,5,83,3,11,1
7,4,1,5,4,76,2,11,1
7,7,1,2,0,62,2,11,0
2,3,3,6,0,47,7,11,0
5,6,7,4,0,35,3,11,0
0,4,5,3,4,23,3,11,0
7,4,4,1,1,79,4,11,0
7,6,2,6,5,64,5,11,1
7,6,2,4,5,70,4,11,1
7,6,1,6,6,87,5,11,1
0,3,6,1,0,28,2,12,0
5,3,5,7,1,58,3,12,0
5,4,4,6,1,85,2,12,0
7,3,6,4,0,62,3,12,0
0,3,2,7,1,26,6,12,0
0,6,2,5,5,28,3,12,1
3,6,1,7,6,88,2,12,1
7,2,3,6,0,57,6,12,0
7,2,2,6,0,78,3,12,0
7,4,4,2,0,56,3,12,0
0,4,6,3,3,46,5,12,0
2,4,4,3,5,20,3,12,1
0,5,6,4,1,24,4,12,0
7,5,2,6,2,72,4,12,0
7,2,4,7,1,51,4,12,0
0,6,2,5,6,34,6,12,1
2,4,2,6,1,21,4,12,0
7,4,4,6,2,74,7,12,0
3,4,4,6,1,48,1,12,0
2,3,3,7,5,28,3,12,0
6,7,1,7,5,38,2,12,1
7,4,6,1,0,70,3,12,0
7,4,5,4,0,72,2,12,0
0,4,5,6,0,41,3,12,0
5,3,4,5,1,50,7,12,0
7,6,2,5,5,73,3,12,1
5,5,2,4,0,79,6,12,0
4,5,1,4,5,76,2,12,1
0,5,3,5,5,62,5,12,1
3,6,2,6,6,30,6,12,1
0,6,3,6,5,35,4,12,1
7,1,2,7,1,66,4,12,0
0,2,4,6,0,35,4,12,0
0,6,1,5,6,57,6,12,1
5,4,5,4,5,37,5,12,1
7,5,5,2,1,61,3,13,0
7,6,2,6,6,56,3,13,1
6,3,4,5,1,53,3,13,0
0,4,5,3,2,24,6,13,1
7,4,1,6,5,74,3,13,1
0,4,4,3,1,36,3,13,0
0,6,2,4,5,30,5,13,1
0,4,7,4,1,55,2,13,0
3,3,2,7,2,35,6,13,0
2,3,4,6,0,26,4,13,0
0,3,4,6,2,25,4,13,0
2,6,7,4,3,27,3,13,0
7,4,1,6,5,66,3,13,1
1,5,2,6,2,39,2,13,0
7,1,1,2,2,58,5,13,0
2,4,4,4,0,53,3,13,1
7,6,7,4,0,76,3,13,0
7,5,2,7,1,51,3,13,0
7,4,2,7,0,70,2,13,0
3,6,3,6,6,68,4,13,1
0,5,4,5,2,32,3,13,1
0,5,4,5,5,55,3,13,0
7,2,2,6,0,52,4,13,0
7,6,4,6,4,73,2,13,1
0,5,4,7,0,42,2,13,0
2,4,4,3,4,23,5,13,1
5,2,3,6,0,30,7,14,0
7,2,2,7,0,68,4,14,0
7,5,2,3,2,68,3,14,0
0,6,4,7,3,68,6,14,0
5,2,3,6,0,38,5,14,0
1,4,3,6,2,74,3,14,0
7,5,6,3,0,59,2,14,0
2,5,2,5,2,73,2,14,0
7,2,3,6,0,79,3,14,0
3,7,1,6,5,28,4,14,1
7,6,2,6,6,50,3,14,1
4,6,3,1,1,36,4,14,0
3,6,2,6,6,50,3,14,1
1,6,2,6,6,61,3,14,1
3,2,2,6,0,37,4,14,0
0,3,4,7,0,29,6,14,0
7,2,3,7,0,39,4,14,0
7,4,5,4,2,83,6,14,1
7,6,1,5,4,68,6,14,1
2,6,1,5,6,25,4,14,1
2,1,3,6,1,41,6,14,0
7,3,2,6,1,67,3,14,0
3,4,2,6,4,36,6,14,1
4,6,2,6,4,66,4,14,1
1,3,2,7,1,55,4,14,0
4,3,2,6,2,42,5,14,0
7,6,3,5,5,42,3,14,1
3,4,5,7,1,36,3,14,0
1,6,4,6,4,53,5,14,1
0,3,2,5,1,36,5,14,0
3,4,3,6,2,29,7,14,0
1,4,4,6,0,31,3,14,0
2,3,4,6,1,43,6,14,0
3,3,4,7,1,33,6,14,0
1,6,6,2,0,63,3,14,0
1,5,2,4,2,25,5,14,0
2,3,2,6,0,72,4,14,0
5,3,3,6,1,40,4,14,0
7,4,2,6,2,27,6,14,0
3,5,4,7,2,26,4,15,0
7,5,2,5,6,67,3,15,1
0,4,5,5,1,21,3,15,0
5,6,2,6,6,27,7,15,1
4,6,5,3,0,78,6,15,1
3,4,4,3,1,32,3,15,0
5,4,2,6,1,68,4,15,0
7,4,2,6,5,76,4,15,0
7,3,3,6,0,33,5,15,0
4,6,2,5,4,38,2,15,1
3,4,3,5,1,49,7,15,0
0,5,4,6,5,61,4,15,1
7,7,1,5,4,57,3,15,1
0,4,2,5,2,20,3,15,0
7,4,2,4,4,63,6,15,1
0,4,1,5,4,53,3,15,1
5,4,2,6,5,35,4,15,1
3,4,4,7,0,39,3,15,0
3,3,5,3,4,48,3,15,1
4,6,2,5,4,62,3,15,1
2,4,2,3,1,30,5,15,0
7,7,1,4,6,26,6,15,1
7,3,2,4,5,74,6,15,1
4,3,4,6,2,37,5,15,0
2,4,5,5,1,43,5,15,0
5,5,1,4,6,68,3,15,1
7,5,3,4,5,73,5,15,1
5,6,1,6,6,60,7,15,1
7,5,4,6,1,35,3,15,0
4,3,4,6,0,29,6,15,0
5,3,3,5,1,25,6,15,0
7,2,2,6,0,25,7,15,0
4,2,4,5,0,70,6,15,0
1,6,2,5,6,41,3,15,1
0,4,2,6,1,37,6,15,0
0,6,1,6,6,39,5,15,1
6,3,4,6,0,35,4,15,0
4,2,3,6,0,62,7,15,0
0,3,2,6,1,30,7,15,0
7,4,2,6,0,74,4,15,0
7,3,3,4,5,47,3,15,0
4,4,5,3,1,43,6,15,0
6,5,3,6,5,64,2,15,1
7,4,3,5,2,75,4,15,1
3,4,4,7,1,27,6,15,0
7,4,4,6,0,21,3,15,0
4,2,2,6,1,70,2,15,0
6,5,2,6,5,67,3,15,1
7,6,4,5,6,82,5,15,0
0,2,2,6,0,40,6,15,0
0,5,3,6,5,26,4,15,1
3,4,3,5,1,29,6,15,0
1,4,5,6,2,28,6,15,0
7,6,4,3,5,65,3,15,0
2,6,5,3,1,25,3,15,0
7,3,2,7,1,65,2,15,0
4,6,2,6,5,38,5,15,1
2,4,3,5,5,72,7,15,1
7,3,2,7,1,67,3,15,0
7,3,1,7,0,74,3,15,0
5,2,4,4,2,71,6,15,0
0,4,6,4,0,47,3,15,0
7,5,4,6,1,69,1,15,0
3,3,3,6,1,29,6,15,0
0,6,2,5,6,34,3,15,1
3,4,3,6,0,43,4,15,0
7,2,1,7,0,30,3,15,0
7,5,5,4,0,76,2,15,0
0,2,4,6,1,26,5,16,0
7,4,3,6,2,76,5,16,0
0,1,4,6,1,42,7,16,0
4,3,1,4,5,33,3,16,1
1,6,2,5,5,25,3,16,1
0,2,2,7,0,51,4,16,0
4,4,2,5,4,57,3,16,1
1,6,1,5,6,21,4,16,1
7,5,1,4,5,79,7,16,1
1,6,2,5,5,35,5,16,1
5,4,2,5,4,57,6,16,1
1,4,4,6,5,32,6,16,0
5,4,5,5,2,51,6,16,0
0,5,2,4,6,62,7,16,1
4,5,1,6,5,48,4,16,1
7,7,1,6,6,39,3,16,1
5,3,2,6,5,26,6,16,1
0,4,2,4,1,38,3,16,1
5,3,3,4,0,50,4,16,0
2,5,5,6,4,33,3,16,1
5,4,3,6,2,36,3,16,0
5,4,4,6,0,24,6,16,0
4,3,2,6,0,25,5,16,0
7,6,5,3,0,62,3,16,0
2,4,3,3,6,33,3,16,1
7,6,2,5,6,53,6,16,1
7,6,2,5,6,68,6,16,1
7,5,4,6,1,68,3,16,0
1,6,1,5,5,38,3,16,1
1,4,5,3,0,58,1,16,0
7,4,2,6,5,34,6,16,1
2,4,3,4,1,58,2,16,0
0,3,4,7,1,35,5,16,0
3,7,2,6,6,42,6,16,1
7,4,4,6,0,54,3,16,0
7,6,2,5,6,69,3,16,1
2,4,6,5,0,35,4,16,0
7,6,1,5,6,66,4,16,1
2,3,2,7,0,58,3,16,0
5,2,4,7,1,41,3,16,0
2,5,2,6,4,35,6,16,0
0,3,3,6,1,40,7,16,0
7,4,7,2,0,53,1,16,0
5,6,2,6,5,67,6,16,1
5,4,4,6,0,32,5,16,0
4,3,4,6,0,41,4,16,0
1,2,1,6,1,43,7,16,0
1,5,3,2,0,65,2,16,0
7,3,3,7,0,60,5,16,0
7,5,3,6,0,77,6,16,0
0,6,5,4,1,35,4,16,0
4,6,7,5,1,48,4,16,0
0,6,2,6,6,52,3,16,1
7,5,3,6,2,43,7,16,0
7,6,2,6,6,43,5,16,1
7,6,2,6,6,67,4,16,1
1,4,4,7,0,56,3,16,0
2,3,3,4,0,62,4,16,0
1,7,7,5,0,62,3,16,0
3,3,2,6,1,22,6,16,0
0,2,2,6,1,21,5,16,0
3,6,1,6,6,34,3,16,1
7,4,3,5,0,70,3,16,0
1,3,2,6,2,50,3,16,0
5,6,1,6,6,42,4,16,1
5,6,2,6,6,73,3,16,1
2,3,1,6,0,57,7,16,0
7,6,1,5,6,40,6,16,1
2,6,1,6,6,58,6,16,1
7,4,6,2,1,62,3,16,0
1,3,5,3,1,44,3,17,0
3,5,3,7,6,30,6,17,0
7,3,3,7,0,76,5,17,0
3,4,3,3,1,50,4,17,0
1,6,2,5,5,41,4,17,1
6,6,3,6,6,77,3,17,1
3,6,3,5,6,35,6,17,1
7,4,3,4,3,39,4,17,0
0,4,2,4,4,72,3,17,1
2,6,2,5,6,42,7,17,1
7,5,2,6,5,85,2,17,1
0,4,2,6,3,79,4,17,0
5,2,3,6,0,39,4,17,0
4,6,1,5,6,58,6,17,1
0,4,2,6,5,27,6,17,1
4,4,3,5,1,43,5,17,0
0,3,3,6,0,58,4,17,0
7,4,3,6,4,28,7,17,1
2,5,3,6,5,27,6,17,0
0,3,6,5,2,40,3,17,0
5,1,3,6,0,43,6,17,0
7,5,4,6,5,64,3,17,1
7,2,2,6,0,39,6,17,0
7,4,2,6,4,76,4,17,1
5,3,3,6,0,64,5,17,0
4,4,6,3,2,28,4,17,0
2,4,2,6,1,45,3,17,0
1,6,2,6,6,22,3,17,1
1,3,3,6,1,27,6,17,0
0,1,2,7,0,31,4,17,0
1,2,2,7,0,34,6,17,0
4,2,3,7,0,30,4,17,0
2,6,1,6,6,64,3,17,1
0,6,1,6,4,36,6,17,1
7,4,3,5,4,31,2,17,1
1,4,3,4,5,37,3,17,1
0,6,4,2,1,48,3,17,0
0,5,7,7,3,41,3,17,0
2,5,2,6,5,25,4,17,1
5,4,2,6,6,82,3,17,1
1,6,2,5,4,36,7,17,1
7,6,2,5,1,47,3,17,1
6,2,3,6,0,67,4,17,0
0,4,6,2,5,24,4,17,1
0,4,5,3,5,33,6,17,1
7,4,1,5,1,59,4,17,1
7,7,1,6,6,71,4,17,1
7,6,2,5,6,36,3,17,1
3,3,3,5,0,41,3,17,0
5,6,2,6,6,38,6,17,1
1,6,3,6,6,32,3,17,1
0,5,6,7,1,32,4,17,0
6,5,4,6,0,75,6,17,0
7,5,2,4,4,52,3,17,1
5,2,3,6,0,29,7,17,0
7,3,4,6,0,71,3,17,0
0,6,2,5,2,33,6,17,0
3,1,2,7,2,67,7,17,0
2,6,1,6,6,49,4,17,1
0,2,3,5,1,31,7,17,0
7,3,4,6,1,53,2,17,0
